"ID","time","GUT","CENT","WT","CP","CP_RUV","x","y","PRED","vachette.cov1","dosenr"
2,127.7,5.03776934074698e-10,2.7605758086477,70,0.0788735945327916,0.0788735945327916,127.7,0.0788735945327916,0.0788735945327916,70,1
2,127.8,5.53240288436938e-10,2.75269970625875,70,0.0786485630359644,0.0786485630359644,127.8,0.0786485630359644,0.0786485630359644,70,1
2,127.9,5.9865506235942e-10,2.74484607494014,70,0.0784241735697184,0.0784241735697184,127.9,0.0784241735697184,0.0784241735697184,70,1
2,128,6.39620500774721e-10,2.73701485057985,70,0.0782004243022814,0.0782004243022814,128,0.0782004243022814,0.0782004243022814,70,1
2,128.1,6.75725863884768e-10,2.72920596924816,70,0.0779773134070904,0.0779773134070904,128.1,0.0779773134070904,0.0779773134070904,70,1
2,128.2,7.06550440447823e-10,2.72141936719715,70,0.0777548390627756,0.0777548390627756,128.2,0.0777548390627756,0.0777548390627756,70,1
2,128.3,7.31663561065418e-10,2.71365498086004,70,0.0775329994531439,0.0775329994531439,128.3,0.0775329994531439,0.0775329994531439,70,1
2,128.4,7.50624611469376e-10,2.70591274685068,70,0.0773117927671621,0.0773117927671621,128.4,0.0773117927671621,0.0773117927671621,70,1
2,128.5,7.62983045808739e-10,2.69819260196294,70,0.0770912171989412,0.0770912171989412,128.5,0.0770912171989412,0.0770912171989412,70,1
2,128.6,7.68278399936748e-10,2.69049448317018,70,0.0768712709477194,0.0768712709477194,128.6,0.0768712709477194,0.0768712709477194,70,1
2,128.7,7.66040304697807e-10,2.68281832762462,70,0.0766519522178462,0.0766519522178462,128.7,0.0766519522178462,0.0766519522178462,70,1
2,128.8,7.55788499214454e-10,2.6751640726568,70,0.0764332592187657,0.0764332592187657,128.8,0.0764332592187657,0.0764332592187657,70,1
2,128.9,7.37032844174331e-10,2.66753165577502,70,0.0762151901650006,0.0762151901650006,128.9,0.0762151901650006,0.0762151901650006,70,1
2,129,7.09273335117143e-10,2.65992101466473,70,0.0759977432761353,0.0759977432761353,129,0.0759977432761353,0.0759977432761353,70,1
2,129.1,6.72000115721633e-10,2.652332087188,70,0.0757809167767999,0.0757809167767999,129.1,0.0757809167767999,0.0757809167767999,70,1
2,129.2,6.24693491092531e-10,2.64476481138288,70,0.0755647088966538,0.0755647088966538,129.2,0.0755647088966538,0.0755647088966538,70,1
2,129.3,5.6682394104758e-10,2.63721912546293,70,0.0753491178703693,0.0753491178703693,129.3,0.0753491178703693,0.0753491178703693,70,1
2,129.4,4.97852133404423e-10,2.62969496781653,70,0.0751341419376151,0.0751341419376151,129.4,0.0751341419376151,0.0751341419376151,70,1
2,129.5,4.17228937267619e-10,2.6221922770064,70,0.07491977934304,0.07491977934304,129.5,0.07491977934304,0.07491977934304,70,1
2,129.6,3.26139530025263e-10,2.61471099180933,70,0.0747060283374093,0.0747060283374093,129.6,0.0747060283374093,0.0747060283374093,70,1
2,129.7,2.28325948786706e-10,2.60725105123461,70,0.0744928871781319,0.0744928871781319,129.7,0.0744928871781319,0.0744928871781319,70,1
2,129.8,1.24261532334025e-10,2.59981239438878,70,0.0742803541253937,0.0742803541253937,129.8,0.0742803541253937,0.0742803541253937,70,1
2,129.9,1.43394984457827e-11,2.59239496054872,70,0.0740684274442491,0.0740684274442491,129.9,0.0740684274442491,0.0740684274442491,70,1
